,date,year,load,load_predict
20560,2006-04-17,2024,6289.3,5661.5822650924665
20561,2006-04-18,2024,6450.9,5643.229261045672
20562,2006-04-19,2024,6547.3,5785.535292876857
20563,2006-04-20,2024,6832.3,5824.0282807800795
20564,2006-04-21,2024,6408.9,5529.1621140566895
20565,2006-04-22,2024,5699.4,5213.389863297654
20566,2006-04-23,2024,5594.0,5232.561385466383
20567,2006-04-24,2024,6529.9,5954.68493029735
20568,2006-04-25,2024,6581.9,5864.210731397363
20569,2006-04-26,2024,6359.9,5706.663922654847
20570,2006-04-27,2024,6569.4,5745.085692064731
20571,2006-04-28,2024,6355.6,5643.833317377904
20572,2006-04-29,2024,5454.1,5206.980813396029
20573,2006-04-30,2024,5467.8,5015.576876788394
20574,2006-05-01,2024,6453.5,5932.219520069216
20575,2006-05-02,2024,6468.7,5714.741215394131
20576,2006-05-03,2024,6569.2,6026.4073410707415
20577,2006-05-04,2024,6991.6,6024.983748821325
20578,2006-05-05,2024,7083.2,5938.5129022119945
20579,2006-05-06,2024,5773.0,5298.082796423869
20580,2006-05-07,2024,5487.8,5158.698905543213
20581,2006-05-08,2024,6455.5,5804.710390232739
20582,2006-05-09,2024,6514.1,5728.951060280505
20583,2006-05-10,2024,6582.8,5394.364350036
20584,2006-05-11,2024,6554.8,5610.035700226408
20585,2006-05-12,2024,6815.1,5781.301678166303
20586,2006-05-13,2024,5639.2,5465.341898467986
20587,2006-05-14,2024,5414.1,5570.4925573334785
20588,2006-05-15,2024,6543.9,6248.975053195539
20589,2006-05-16,2024,6594.4,5816.483121672811
20590,2006-05-17,2024,6706.2,5794.136556713686
20591,2006-05-18,2024,6948.7,5719.022788635576
20592,2006-05-19,2024,6656.1,5951.535506881003
20593,2006-05-20,2024,5468.6,5455.895200751208
20594,2006-05-21,2024,5438.2,5354.139795082151
20595,2006-05-22,2024,6417.8,5960.444040019658
20596,2006-05-23,2024,6478.3,6310.720292144628
20597,2006-05-24,2024,6776.9,6079.288693086424
20598,2006-05-25,2024,7006.5,6094.158146328113
20599,2006-05-26,2024,7141.5,5933.837852077433
20600,2006-05-27,2024,6207.3,5438.211716338823
20601,2006-05-28,2024,6098.9,5273.707720583676
20602,2006-05-29,2024,6871.7,5655.217819287421
20603,2006-05-30,2024,9024.0,6580.186909992713
20604,2006-05-31,2024,8042.3,6557.857629894593
20605,2006-06-01,2024,9050.8,6740.4357510091095
20606,2006-06-02,2024,8692.6,6208.365854809751
20607,2006-06-03,2024,6407.3,5727.212837003416
20608,2006-06-04,2024,5864.6,6251.584105661037
20609,2006-06-05,2024,7207.4,6982.957052153493
20610,2006-06-06,2024,7274.9,7351.090649285566
20611,2006-06-07,2024,6970.5,6356.524156594507
20612,2006-06-08,2024,6884.5,6022.756703946508
20613,2006-06-09,2024,7226.7,6132.174436390447
20614,2006-06-10,2024,5717.1,5419.769015224913
20615,2006-06-11,2024,5580.0,5206.328513695899
20616,2006-06-12,2024,7155.9,6566.896682251175
20617,2006-06-13,2024,7913.0,6739.713476757832
20618,2006-06-14,2024,8028.9,6896.140950269675
20619,2006-06-15,2024,7885.2,6615.038296491506
20620,2006-06-16,2024,8202.9,6391.552825170318
20621,2006-06-17,2024,7043.0,5818.151901703783
20622,2006-06-18,2024,7984.8,6395.215650341716
20623,2006-06-19,2024,9907.6,6802.114534009199
20624,2006-06-20,2024,9502.0,7259.952154871992
20625,2006-06-21,2024,8955.5,6562.639356594191
20626,2006-06-22,2024,9763.2,6659.224008365165
20627,2006-06-23,2024,9464.0,7403.678436417931
20628,2006-06-24,2024,7815.7,7019.698344186891
20629,2006-06-25,2024,6993.1,6280.96247560507
20630,2006-06-26,2024,8597.2,8057.072024483414
20631,2006-06-27,2024,8917.0,8027.359907481554
20632,2006-06-28,2024,9531.5,8241.120205266243
20633,2006-06-29,2024,9437.4,8370.665045288235
20634,2006-06-30,2024,8339.1,7366.399029703903
20635,2006-07-01,2024,7229.2,6846.544466336723
20636,2006-07-02,2024,7732.6,6949.555090135568
20637,2006-07-03,2024,9098.7,7678.147244605259
20638,2006-07-04,2024,8208.9,6981.19413812921
20639,2006-07-05,2024,8974.1,7522.78758738051
20640,2006-07-06,2024,8156.8,7344.879692719414
20641,2006-07-07,2024,8223.7,7514.669316410493
20642,2006-07-08,2024,7248.5,6501.788708671112
20643,2006-07-09,2024,7350.8,6593.7142472653395
20644,2006-07-10,2024,9372.1,7795.906938390181
20645,2006-07-11,2024,10146.7,7936.8595257935485
20646,2006-07-12,2024,9891.8,7544.982666387217
20647,2006-07-13,2024,9519.4,8443.08598770891
20648,2006-07-14,2024,9484.2,8614.486593246735
20649,2006-07-15,2024,7965.4,7206.465745858125
20650,2006-07-16,2024,8634.4,6392.305068949438
20651,2006-07-17,2024,11070.7,8899.111931912159
20652,2006-07-18,2024,11091.5,8969.528163388455
